project_number,project_link,hpa_number,location,property,description,review_type,submitted_documents,meeting_link,recommendation,previous_review,owner,district_of_columbia,superseded_by,cfa_action,og_19-047,
OG 16-231,/records-research/project-search/og-16-231,HPA 16-412,"1338 Wisconsin Avenue, NW
United States",Commercial,Alterations - Smith Point,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24917,Returned without Action.  Submission materials and a site visit on 17 May 2016 indicate that rear alterations would not be visible from a public thoroughfare.  Refer to the Historic Preservation Review Boards.,,,,,,,
OG 16-237,/records-research/project-search/og-16-237,HPA 16-418,"3295 M Street, NW
United States",Commercial,Mechanical equipment- Existing alterations without review,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24917,"Returned without Action. Submission materials and a site visit on 16 May 2016 indicate that existing rooftop mechanical equipment would not be visible from a public thoroughfare. Refer to the Historic Preservation Review Boards.
",,,,,,,
OG 16-246,/records-research/project-search/og-16-246,HPA 16-428,"3234 N Street, NW
United States",Residence,"Pool house, Site alterations",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24917,"Returned without Action. Permit drawings and site visit on 21 April 2016 indicate the proposed rear yard site work and new pool house would not be visible from a public thoroughfare. Refer to the Historic Preservation Review Board.
",,,,,,,
OG 16-247,/records-research/project-search/og-16-247,HPA 16-429,"1544 33rd Street, NW
United States",Residence,Alterations,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24917,Returned without Action.  Permit drawings and a site visit on 22 March 2016 indicate that fenestration alterations would not be visible from a public thoroughfare.  Refer to Historic Preservation Review Board.  ,"('/records-research/project-search/og-16-178-0', 'OG 16-178')",,,,,,
OG 16-003,/records-research/project-search/og-16-003-0,HPA 16-009,"3029 Dent Place, NW
United States",Residence,"Rear addition, Alterations",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24916,Returned without Action.  Concept application for rear addition and alterations has been inactive for an extended period of time.,"('/records-research/project-search/og-16-003', 'OG 16-003')",,,,,,
OG 16-062,/records-research/project-search/og-16-062-0,HPA 16-108,"3050 P Street, NW
United States",Residence,Rear fence,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24916,"Returned without Action. Permit application for a wood fence has been inactive for an extended period of time.
","('/records-research/project-search/og-16-062', 'OG 16-062')",,,,,,
OG 16-095,/records-research/project-search/og-16-095,HPA 16-163,"1232 31st Street, NW
United States",Commercial,Signs - Compass,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24916,"Returned without Action. Permit application was superseded by permit application OG 16-189.
",,,,"('/records-research/project-search/og-16-189', 'OG 16-189')",,,
OG 16-107,/records-research/project-search/og-16-107-0,HPA 16-179,"1051 29th Street, NW
United States",Multi-family residence,"New building, site work",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24916,Returned without Action.  Concept application has been inactive for an extended period of time.,"('/records-research/project-search/og-16-107', 'OG 16-107')",,,,,,
OG 16-128,/records-research/project-search/og-16-128,HPA 16-214,"3251 Prospect Street, NW #301
United States",Mixed-use,Replacement windows,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24916,"Returned without action. Permit application for replacement windows has been inactive for an extended period of time. File a concept application for a replacement window proposal to be used for all units in the condominium building.
",,,,,,,
OG 16-183,/records-research/project-search/og-16-183,HPA 16-326,"1524 34th Street, NW
United States",Residence,Alterations,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24916,"Returned without Action. Submission materials and a site visit on 18 April 2016 indicate that proposed alterations to rear at basement level would not be visible from a public thoroughfare. Refer to the Historic Preservation Review Board.
",,,,,,,
OG 16-184,/records-research/project-search/og-16-184,HPA 16-327,"3641 Winfield Lane, NW
United States",Residence,Door replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24916,"Returned without Action. Submission materials and a site visit on 18 April 2016 indicate that proposed doors would not be visible from a public thoroughfare. Refer to the Historic Preservation Review Board.
",,,,,,,
OG 16-187,/records-research/project-search/og-16-187,HPA 16-336,"3111 N Street, NW
United States",Residence,Parking pad paving,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24916,"Returned without Action. Permit application for paving rear parking pad was withdrawn at the written request by the applicant.
",,,,,,,
OG 16-189,/records-research/project-search/og-16-189,HPA 16-341,"1232 31st Street, NW
United States",Commercial,Sign - Compass,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24916,"Returned without Action. Permit application for sign was withdrawn at the written request by the applicant.
","('/records-research/project-search/og-16-095-0', 'OG 16-095')",,,,,,
OG 16-195,/records-research/project-search/og-16-195,HPA 16-348,"3234 N Street, NW
United States",Residence,"Rear addition, alterations - Demolition",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24916,"Returned without Action.  Although proposed mechanical equipment, rear addition, roof alterations, and site work would not be visible from a public thoroughfare per mock-up inspection on 21 April 2016, the Commission regrets the amount of exterior and interior demolition associated with this contributing pair of 19th-century frame houses.  Revised drawings received on 27 April indicate the mechanical equipment would be located at the southern half of the roof and would not be visible from a public thoroughfare.  Refer to the Historic Preservation Review Board.","('/records-research/project-search/og-16-073-0', 'OG 16-073')",,,,,,
OG 16-051,/records-research/project-search/og-16-051-0,HPA 16-083,"3225 M Street, NW
United States",Commercial,Door replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24915,"Returned without Action.  Permit application for replacement door has been inactive for an extended period of time.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.","('/records-research/project-search/og-16-051', 'OG 16-051')",,,,,,
OG 16-142,/records-research/project-search/og-16-142,HPA 16-237,"1525 29th Street, NW
United States",Residence,Pool,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24915,"Returned without Action.  Although the proposed pool would not be visible from a public thoroughfare, the Commission regrets the amount of hardscape proposed for this property.  Refer to Historic Preservation Review Board.    Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 16-143,/records-research/project-search/og-16-143,HPA 16-238,"3700 O Street, NW
United States",Georgetown University - crew boat storage,Chain-link fence,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24915,"Returned without Action.  Private property with crew board storage is outside of the jurisdiction of the Old Georgetown Act.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 16-158,/records-research/project-search/og-16-158,HPA 16-278,"3210 R Street, NW
United States",Residence,Fence,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24915,"Returned without Action.  Submission materials for 7-foot tall fence along east property line which would be set back from front of building would not be visible from a public thoroughfare and existing front yard fencing would not change.  Refer to Historic Preservation Review Board.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
